Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Total Runs,Longest Run,Max Speed,Active Time,Total Run Distance,Avg Run Speed,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-05-06 16:42:20,false,"North Hertfordshire Running","9.18","624","01:04:12","129","162","3.1","135","218","7:00","4:10","124","140","1.05","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","16.0","No","00:00:58.6","10","27.0","--","--","--","--","--","--","--","--","--","01:03:21","01:04:12","62","154"
Running,2024-05-04 17:33:04,false,"North Hertfordshire Running","5.45","345","00:35:25","125","148","2.5","136","169","6:30","4:30","66","72","1.10","9.1","9.7","318","48.8% L / 51.2% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","21.0","No","00:02:28.9","6","26.0","27","13","37","--","--","--","--","--","--","00:33:35","00:39:02","67","106"
Running,2024-05-02 12:11:22,false,"North Hertfordshire Running","5.07","344","00:28:57","139","164","2.8","152","184","5:43","4:24","51","57","1.15","8.8","9.8","304","48.8% L / 51.2% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","18.0","No","00:00:29.1","6","28.0","32","21","41","--","--","--","--","--","--","00:27:55","00:28:57","66","102"
Running,2024-05-01 11:55:54,false,"North Hertfordshire Running","9.69","688","00:51:03","161","176","3.9","158","183","5:16","4:05","146","149","1.18","8.6","10.2","288","49.4% L / 50.6% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","22.0","No","00:03:52.6","10","31.0","36","27","47","--","--","--","--","--","--","00:50:54","00:51:12","67","147"
Running,2024-04-29 12:45:35,false,"North Hertfordshire - HIIT 10x 1 min 1 min","4.81","355","00:26:33","162","181","3.3","143","197","5:31","3:11","60","61","1.20","8.7","9.6","309","49.0% L / 51.0% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","20.0","No","00:01:00","22","25.0","36","19","45","--","--","--","--","--","--","00:26:33","00:26:38","65","103"
Running,2024-04-29 12:41:39,false,"North Hertfordshire Running","0.55","30","00:03:02.1","131","149","0.4","153","169","5:33","4:43","1","11","1.05","10.2","9.8","302","48.7% L / 51.3% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","25.0","No","00:00:00.7","3","29.0","24","15","30","--","--","--","--","--","--","00:02:50.7","00:03:20.0","65","77"
Running,2024-04-27 14:30:10,false,"North Hertfordshire Running","19.12","1,257","01:42:15","147","166","4.1","157","206","5:21","3:55","233","235","1.18","8.4","9.9","297","48.8% L / 51.2% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","14.0","No","00:00:39.7","20","29.0","32","21","42","--","--","--","--","--","--","01:41:28","01:47:06","62","177"
Running,2024-04-26 12:47:06,false,"North Hertfordshire Running","10.01","646","00:51:28","151","170","3.5","159","196","5:09","4:09","133","137","1.20","8.4","10.2","289","48.6% L / 51.4% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","16.0","No","00:00:01.9","11","30.0","34","16","43","--","--","--","--","--","--","00:51:11","00:51:32","69","159"
Running,2024-04-22 12:22:40,false,"North Hertfordshire Running","10.01","671","00:55:13","143","165","3.4","154","212","5:31","3:35","125","122","1.16","8.8","10.2","300","48.9% L / 51.1% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","13.0","No","00:00:01.8","11","29.0","30","15","40","--","--","--","--","--","--","00:54:31","00:56:51","65","153"
Running,2024-04-20 10:13:03,false,"North Hertfordshire Running","12.86","786","02:11:56","93","159","2.8","106","165","10:16","4:54","104","107","0.89","9.3","8.3","362","49.2% L / 50.8% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","16.0","No","00:04:51.5","13","30.0","18","10","40","--","--","--","--","--","--","01:58:22","02:13:39","58","94"
Running,2024-04-19 13:08:31,false,"North Hertfordshire Running","6.09","417","00:32:24","153","170","3.3","158","178","5:19","4:15","69","70","1.17","8.7","10.1","296","48.8% L / 51.2% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","15.0","No","00:00:28.0","7","28.0","34","17","42","--","--","--","--","--","--","00:32:04","00:32:38","57","95"
Running,2024-04-15 12:46:21,false,"North Hertfordshire Running","7.99","519","00:43:08","144","165","3.1","157","170","5:24","4:39","122","132","1.16","8.4","10.0","296","49.0% L / 51.0% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","15.0","No","00:05:05.6","8","30.0","30","17","42","--","--","--","--","--","--","00:42:45","00:46:30","64","106"
Running,2024-04-14 12:16:03,false,"North Hertfordshire Running","10.86","671","00:57:46","136","161","2.9","158","165","5:19","4:38","101","105","1.19","8.2","10.0","291","48.5% L / 51.5% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","18.0","No","00:04:21.9","11","28.0","31","11","42","--","--","--","--","--","--","00:57:02","02:06:50","54","93"
